ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
21,Clean sandbox (Hura crepitans) oil methyl esters synthesis: A kinetic and thermodynamic study through pH monitoring approach,Oraegbunam J.C.; Oladipo B.; Falowo O.A.; Betiku E.,Renewable Energy,10.1016/j.renene.2020.06.124,2020,Biofuel,Sandbox seeds,Hura crepitans
22,Biodiesel,No S.-Y.,Green Energy and Technology,10.1007/978-981-13-6737-3_3,2019,Biofuel,"Jatropha curcas, Karanja (Pongamia pinnata), Mahua (Madhuca indica), cotton, kapok), Croton, mustard, Mimusops","Jatropha curcas, Karanja (Pongamia pinnata), Mahua (Madhuca indica), cotton, kapok), Croton, mustard, Mimusops"
23,Performance evaluation and analysis of underutilized argemone mexicana seed oil biodiesel in single cylinder 4-S diesel engine,Anjum S.S.; Prakash O.; Pal A.,International Journal of Innovative Technology and Exploring Engineering,10.35940/ijitee.K1770.0981119,2019,Biofuel,,argemone mexicana
24,CO2 footprint of the seeds of rubber (Hevea brasiliensis) as a biodiesel feedstock source,Wagner M.; Lippe M.; Lewandowski I.; Salzer M.; Cadisch G.,Forests,10.3390/f9090548,2018,Biofuel,Rubber,Hevea brasiliensis
25,Ultrasonic-assisted production of biodiesel from Manilkara Zapota (L.) seed oil,Dewangan A.; Mallick A.,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",10.1080/15567036.2017.1352631,2017,Biofuel,,Manilkara Zapota (L.)
26,Biodiesel from rubber seed oil: A sustainable solution for biofuel production,Krishnakumar U.; Sivasubramanian V.,Renewable Energy and Sustainable Development,,2015,Biofuel,Jatropha,
27,Thermophysical characterization of the seeds of invasive Chinese tallow tree: Importance for biofuel production,Picou L.; Boldor D.,Environmental Science and Technology,10.1021/es3023489,2012,Biofuel,Chinese tallow trees,Triadica sebifera [L.]
28,A multi-variant approach to optimize process parameters for biodiesel extraction from rubber seed oil,Melvin Jose D.F.; Edwin Raj R.; Durga Prasad B.; Robert Kennedy Z.; Mohammed Ibrahim A.,Applied Energy,10.1016/j.apenergy.2010.12.024,2011,Biofuel,Rubber,
29,"An Physiological Aspects of Biofuel Yielding Plants (With Special Referance to Pongamea Pinnata) in Bhadravathi Taluk, Shimoga District",Ananthanag B.; Patil N.; Puttaiah E.T.; Arjumand Banu S.S.,Indian Journal of Environmental Protection,,2011,Biofuel,,Pongamia pinnata
30,Production of biodiesel from Terminalia catappa seed oil with high free fatty acids using an acid-catalyzed pretreatment step,Adewuyi A.; Oderinde R.A.; Ojo D.F.K.,International Journal of Sustainable Energy,10.1080/1478646X.2011.587518,2011,Biofuel,,Terminalia catappa
31,Biodiesel from safflower oil and its application in a diesel engine,Ilkiliç C.; Aydin S.; Behcet R.; Aydin H.,Fuel Processing Technology,10.1016/j.fuproc.2010.09.028,2011,Biofuel,Safflower,
32,Solvent extraction and characterisation of rubber seed oil,Khan M.; Yusup S.,International Journal of Postharvest Technology and Innovation,10.1504/IJPTI.2009.030686,2009,Biofuel,Rubber,
33,Okra seed oil biodiesel: Investigating underutilized seed oils as potential biofuels,Austin M.R.; Havens R.Z.; Levy I.J.; Soerensen J.L.; Tshudy D.J.,ACS National Meeting Book of Abstracts,,2008,Biofuel,Okra ,
34,"Evaluation of variation in seed parameters and morphology of pongamia pinnata: A biodiesel yielding plant in Bhadravathi town, Karnataka",Ananthnag B.; Naveen D.; Puttaiah E.T.,Nature Environment and Pollution Technology,,2010,Biofuel,,Pongamia pinnata
35,Production of biodiesel from high free fatty acid Karanja (Pongamia pinnata) oil,Naik M.; Meher L.C.; Naik S.N.; Das L.M.,Biomass and Bioenergy,10.1016/j.biombioe.2007.10.006,2008,Biofuel,Karanja,Pongamia pinnata
36,"Modeling Intra- and Interannual Variability of BVOC Emissions From Maize, Oil-Seed Rape, and Ryegrass",Havermann F.; Ghirardo A.; Schnitzler J.-P.; Nendel C.; Hoffmann M.; Kraus D.; Grote R.,Journal of Advances in Modeling Earth Systems,10.1029/2021MS002683,2022,Energy,"Maize, ryegrass, and oil-seed rape",
37,Agricultural wastes as potential feedstock for activated carbons development,Cukierman A.L.; Bonelli P.R.,Agricultural Research Updates,,2017,Energy,Sunflower,Helianthus annuus
38,Characterization of Indian clusterbean (Cyamopsis tetragonoloba (L.) Taub.) genotypes using qualitative morphological traits,Manivannan A.; Anandakumar C.R.; Ushakumari R.; Dahiya G.S.,Genetic Resources and Crop Evolution,10.1007/s10722-015-0266-y,2016,Energy,Guar /Clusterbean,Cyamopsis tetragonoloba (L.) Taub.
39,An experimental investigation of pongamia based biodiesel in di diesel engine using air preheater,Vengadesan G.; Kathavarayan B.C.,Journal of Chemical and Pharmaceutical Sciences,,2016,Energy,Pongamia,pongamia pinnata
40,Jatropha curcas: A prospective energy crop,Ahad B.; Reshi Z.A.; Rasool H.; Shahri W.; Yousuf A.R.,Biomass and Bioenergy: Processing and Properties,10.1007/978-3-319-07641-6_17,2014,Energy,,Jatropha curcas L.
41,Effects of aqueous ethanol concentration and solid-to-liquid ratio in the extraction of organosolv lignin from mango (Mangifera indica l.) seed husk,Siacor F.D.C.; Tabañag I.D.F.; Lobarbio C.F.Y.; Taboada E.B.,Science and Technology Asia,,2021,Fiber,Mango,Mangifera indica l.
42,Lipid characterization of black soybean (Glycine max [L.] Merrill) seeds using GC-MS/HS fingerprinting,Kumar A.; Sahu J.K.; Naik S.; Suhas S.,Journal of Food Processing and Preservation,10.1111/jfpp.17092,2022,Food and nutrition,Black soybean,Glycine max [L.] Merrill
43,Utilization of pumpkin seed oil cake and proso millet flour in enhancing gluten-free bread quality,Vou?ko B.; Novotni D.; Balbino S.; Musta? N.?.; Drakula S.; Dujmi? F.; Habuš M.; Jarni K.; ?uri? D.,Journal of Food Processing and Preservation,10.1111/jfpp.17070,2022,Food and nutrition,Pumpkin and proso millet,
44,Contribution of the Dolichos Lablab value chain to farmer's household livelihood assets in Tanzania,Minde J.J.; Matemu A.O.; Venkataramana P.B.,Heliyon,10.1016/j.heliyon.2022.e11646,2022,Food and nutrition,Lablab,Dolichos Lablab
45,Release of Bioactive Peptides from Erythrina edulis (Chachafruto) Proteins under Simulated Gastrointestinal Digestion,Correa J.L.; Zapata J.E.; Hernández-Ledesma B.,Nutrients,10.3390/nu14245256,2022,Food and nutrition,Chachafruto,Erythrina edulis
46,"Effects of roasted defatted sesame seed (Sesamum indicum) flour addition on the nutritional quality, dietary fibre, and glycaemic index of malted amaranth grain (Amaranthus hybridus) flour",Ogundele O.M.; Ojedokun F.O.; Fasogbon B.M.; Bamidele O.P.,Food Research,10.26656/fr.2017.6(6).698,2022,Food and nutrition,Sesame and  amaranth,Sesamum indicum Amaranthus hybridus
47,"Genetic variability, heritability and association among yield components and proximate composition of neglected and underutilized Bambara groundnut [Vigna subterranea (L) Verdc] accessions for varietal development in Ghana",Donkor E.F.; Adjei R.R.; Amadu B.; Boateng A.S.,Heliyon,10.1016/j.heliyon.2022.e09691,2022,Food and nutrition,Bambara groundnut,Vigna subterranea (L) Verdc
48,Food and nutraceutical functions of sesame oil: An underutilized crop for nutritional and health benefits,Langyan S.; Yadava P.; Sharma S.; Gupta N.C.; Bansal R.; Yadav R.; Kalia S.; Kumar A.,Food Chemistry,10.1016/j.foodchem.2022.132990,2022,Food and nutrition,Sesame,
49,"Nutritional, antinutritional, and functional properties of different processed (soaking, germination, and boiling) flour from moringa oleifera lam (moringa) seed",Matthew O.J.; Saidu A.N.; Jigam A.A.; Ocheme O.B.,Journal of Food Processing and Preservation,10.1111/jfpp.16052,2022,Food and nutrition,Moringa,Moringa oleifera Lam.
50,"Diversity in seed protein content, selected minerals, oil content and fatty acid composition of the Southern African Bambara groundnut germplasm collection",Mbuma N.W.; Labuschagne M.; Siwale J.; Hugo A.,Journal of Food Composition and Analysis,10.1016/j.jfca.2022.104477,2022,Food and nutrition,Bambara groundnut,
51,"Moringa concanensis Nimmo. seed extracts as a potential source of bioactive molecules, antioxidants and enzyme inhibitors",Krupa J.; Murugan R.; Gangapriya P.; Amalraj S.; Gurav S.; Sam Arulraj M.; Ayyanar M.,Journal of Food Measurement and Characterization,10.1007/s11694-022-01463-6,2022,Food and nutrition,Wild drumstick,Moringa concanensis Nimmo
52,Exploring the nutritional profiling and health benefits of Palmyra palm haustorium,Basava Prasad A.R.; Arunkumar A.; Vignesh S.; Chidanand D.V.; Baskaran N.,South African Journal of Botany,10.1016/j.sajb.2022.01.027,2022,Food and nutrition,Asian Palmyra palm/Palmyra haustorium,Borassus flabellifer
53,"Removal of bound polyphenols and its effect on structure, physicochemical and functional properties of insoluble dietary fiber from adzuki bean seed coat",Yin W.; Liu M.; Xie J.; Jin Z.; Ge S.; Guan F.; Liu H.; Zheng M.; Cai D.; Liu J.,LWT,10.1016/j.lwt.2022.114011,2022,Food and nutrition,Adzuki bean,
54,"Comparison of bioactive components and flavor volatiles of diverse cocoa genotypes of Theobroma grandiflorum, Theobroma bicolor, Theobroma subincanum and Theobroma cacao",Febrianto N.A.; Zhu F.,Food Research International,10.1016/j.foodres.2022.111764,2022,Food and nutrition,Cocoa,"Theobroma grandiflorum, Theobroma bicolor, Theobroma subincanum and Theobroma cacao"
55,Recent developments in the value-addition of pomegranate fruit in South Africa: from edible to non-edible fruit parts,Fawole O.A.; Opara U.L.,Acta Horticulturae,10.17660/ActaHortic.2022.1349.77,2022,Food and nutrition,Pomegranate,
56,Nutritional Composition and In Vitro Antioxidant Activities of Seed Kernel and Seed Oil of Balanites roxburghii: An Underutilized Species,Yadav G.G.; Murthy H.N.; Dewir Y.H.,Horticulturae,10.3390/horticulturae8090798,2022,Food and nutrition,,Balanites roxburghii
57,"Germplasm Exploration, Elite Selection and Fruit Trait Association Analysis with ISSR Markers in Elaeocarpus serratus L.—An Underutilized Fruit Tree",Raji R.; Siril E.A.,Erwerbs-Obstbau,10.1007/s10341-022-00745-z,2022,Food and nutrition,,Elaeocarpus serratus L. 
58,Comprehensive chocolate aroma characterization in beverages containing jackfruit seed flours and cocoa powder,Spada F.P.; de Alencar S.M.; Purgatto E.,Future Foods,10.1016/j.fufo.2022.100158,2022,Food and nutrition,Jackfruit,Artocarpus heterophyllus Lam
59,The micronutrient content in underutilized crops: the Lupinus mutabilis sweet case,Vera-Vega M.; Jimenez-Davalos J.; Zolla G.,Scientific Reports,10.1038/s41598-022-19202-8,2022,Food and nutrition,Tarwi,Lupinus mutabilis
60,Impact of 3-Year Period as a Factor on the Content of Biologically Valuable Substances in Seeds of White Lupin,Tirdi?ová I.; Vollmannová A.; ?éryová S.; Obtulovi? P.; Árvay J.; Zetochová E.,Plants,10.3390/plants11162087,2022,Food and nutrition,White lupin,Lupine albus
61,Comparative study on physical characteristics and nutritional composition of pumpkin (Cucurbita moschata) at different stages of maturity,Ramachandran P.; Dhiman A.K.; Attri S.; Vikram A.; Rai S.; Sangeeta S.,Indian Journal of Traditional Knowledge,10.56042/ijtk.v21i4.32425,2022,Food and nutrition,Pumpkin,Cucurbita moschata
62,Selection of promising accessions of phalsa (Grewia asiatica L.) based on fruit-related traits,Mirheidari F.; Khadivi A.; Moradi Y.,Food Science and Nutrition,10.1002/fsn3.2967,2022,Food and nutrition,Phalsa or falsa,Grewia asiatica L.
63,Biochemical characterization of Soxhlet-extracted pulp oil of Canarium schweinfurthii Engl. fruit in Nigeria,Omeje K.O.; Ezema B.O.; Ozioko J.N.; Omeje H.C.; Ossai E.C.; Eze S.O.O.; Okpala C.O.R.; Korzeniowska M.,Scientific Reports,10.1038/s41598-022-14381-w,2022,Food and nutrition,,Canarium schweinfurthii Engl.
64,Phenolic profiling and antioxidant evaluation of extracts from Southern African indigenous fruits byproducts,Pfukwa T.M.; Fawole O.A.; Manley M.; Mapiye C.,Food Research International,10.1016/j.foodres.2022.111388,2022,Food and nutrition,"Kei apple, Colpoon, Water pear, Wild plum, Wild olive ","Dovyalis caffra (Kei apple), Colpoon compressum (Colpoon),  Syzygium guineense (Water pear), Harpephyllum caffrum (Wild plum), Olea africana (Wild olive)"
65,Functional properties of wheat-based bread affected by pumpkin flour and jackfruit seed flour incorporation,Minh N.P.,Research on Crops,10.31830/2348-7542.2022.ROC-853,2022,Food and nutrition,Pumpkin and jackfruit,
66,"Bambara groundnut production, grain composition and nutritional value: opportunities for improvements",Maphosa Y.; Jideani V.A.; Maphosa L.,Journal of Agricultural Science,10.1017/S0021859622000521,2022,Food and nutrition,Bambara groundnut,Vigna subterranea L. 
67,Improving phenolic bioactive-linked functional qualities of traditional cereal-based fermented food (Ogi) of Nigeria using compatible food synergies with underutilized edible plants,Banwo K.; Oyeyipo A.; Mishra L.; Sarkar D.; Shetty K.,NFS Journal,10.1016/j.nfs.2022.03.001,2022,Food and nutrition,"Tigernut (Cyperus esculentus), sesame (Sesamum indicum L.) ","Cyperus esculentus, Sesamum indicum L."
68,"Exploration, Collection and Characterization of Horsegram [Macrotyloma uniflorum (Lam.) Verd.] Germplasm",Sirisha A.B.M.,Legume Research,10.18805/LR-4698,2022,Food and nutrition,Horsegram,Macrotyloma uniflorum (Lam.) Verd.
69,Influence of Enzymatic Hydrolysis and Molecular Weight Fractionation on the Antioxidant and Lipase / ?-Amylase Inhibitory Activities In Vitro of Watermelon Seed Protein Hydrolysates,Mirzapour-Kouhdasht A.; Garcia-Vaquero M.; Eun J.-B.; Simal-Gandara J.,Molecules,10.3390/molecules27227897,2022,Food and nutrition,Watermelon,
70,Effect of blanching and drying processes on shelf-life of Parkia speciosa seed and pods,Devi H.R.; Panghal A.; Chhikara N.; Dhull S.B.; Bangar S.P.; Singh A.,Journal of Food Processing and Preservation,10.1111/jfpp.17257,2022,Food and nutrition,,Parkia speciosa
71,Varietal Descriptors for the Distinction of Underutilized Varieties of Sechium edule (Jacq) Swartz,Cadena-Iñiguez J.; Avendaño-Arrazate C.H.; Arévalo-Galarza M.D.L.; Cisneros-Solano V.M.; Ruiz-Posadas L.D.M.; Aguirre-Medina J.F.; Watanabe K.; Machida-Hirano R.; Barrera-Guzmán L.A.,Plants,10.3390/plants11233309,2022,Food and nutrition,,Sechium edule (Jacq.) Sw.
72,Strategies to Promote Sustainable Development: The Gendered Importance of Addressing Diminishing African Locust Bean (Parkia biglobosa) Resources in Northern Ghana’s Agro-Ecological Landscape,Lelea M.A.; Konlan L.M.; Ziblila R.C.; Thiele L.E.; Amo-Aidoo A.; Kaufmann B.,Sustainability (Switzerland),10.3390/su141811302,2022,Food and nutrition,African locust bean,Parkia biglobosa
73,Development of selection indices for improvement of seed yield and lipid composition in bambara groundnut (Vigna subterranea (l.) verdc.),Halimi R.A.; Raymond C.A.; Barkla B.J.; Mayes S.; King G.J.,Foods,10.3390/foods11010086,2022,Food and nutrition,Bambara groundnut,Vigna subterranea (l.) verdc.
74,Physical and nutritional properties of black monkey orange fruit and seeds: A preliminary analysis for food processing,van Rayne K.K.; Adebo O.A.; Wokadala O.C.; Sithole L.; Ngobese N.Z.,PLoS ONE,10.1371/journal.pone.0268628,2022,Food and nutrition,Black monkey orange,Strychnos madagascariensis
75,"Rheological, techno-functional, and physicochemical characterization of Prosopis cineraria (Sangri) seed gum: A potential food and pharmaceutical excipient",Vadapalani Nallasivam L.; Gokhale J.S.,Journal of Food Processing and Preservation,10.1111/jfpp.16519,2022,Food and nutrition,Sangri,Prosopis cineraria
76,"Horse Gram, An Underutilized Climate-Resilient Legume: Breeding and Genomic Approach for Improving Future Genetic Gain",Jha U.C.; Nayyar H.; Parida S.K.; Siddique K.H.M.,Developing Climate Resilient Grain and Forage Legumes,10.1007/978-981-16-9848-4_8,2022,Food and nutrition,Horse gram,Macrotyloma uniflorum (Lam.) Verdc.
77,Composition of Phenolic Compounds in South African Schinus molle L. Berries,Bvenura C.; Kambizi L.,Foods,10.3390/foods11101376,2022,Food and nutrition,,Schinus molle L.
78,EVALUATION OF WHEAT-PIGEON PEA FLOUR BLENDS FOR NOODLE PRODUCTION IN NIGERIA,Uzodinma E.O.; Onwurafor E.U.; Amulu N.F.; Nwosu A.N.; Amadi C.C.; Azuka C.E.,"African Journal of Food, Agriculture, Nutrition and Development",10.18697/ajfand.108.20370,2022,Food and nutrition,Pigeon pea,Cajanus cajan L.
79,"Physical characteristics, nutrients, and antinutrients composition of pigeon pea (Cajanus cajan (L.) Millsp.) grown in Indonesia",A’yuni N.R.L.; Marsono Y.; Marseno D.W.; Triwitono P.,Food Research,10.26656/fr.2017.6(2).172,2022,Food and nutrition,Pigeon pea,Cajanus cajan (L.) Millsp.
80,"A Review on Stress Physiology and Breeding Potential of an Underutilized, Multipurpose Legume: Rice Bean (Vigna umbellata)",Atta K.; Adhikary S.; Mondal S.; Mukherjee S.; Pal A.; Mondal S.; Jana K.; Biswas B.,Developing Climate Resilient Grain and Forage Legumes,10.1007/978-981-16-9848-4_11,2022,Food and nutrition,Rice bean,Vigna umbellata
81,Evaluation of divergence in underutilized wonder legume winged bean [Psophocarpus tetragonolobus (L.) DC.] using ISSR markers,Dieu T.Q.; Dodake S.S.; Chimote V.P.,Vegetos,10.1007/s42535-021-00282-2,2022,Food and nutrition,Winged bean,Psophocarpus tetragonolobus (L.) DC.
82,In silico drug-like properties prediction and in vivo antifungal potentials of Citrullus lanatus seed oil against Candida albicans,Apeh V.O.; Njoku O.U.; Nwodo F.O.C.; Chukwuma I.F.; Emmanuel A.A.,Arabian Journal of Chemistry,10.1016/j.arabjc.2021.103578,2022,Food and nutrition,Watermelon,Citrullus lanatus
83,Partial Characterization of Custard Powder Prepared from Native and Modified Non-conventional Starches,Sarkar S.,Asian Journal of Dairy and Food Research,10.18805/ajdfr.DR-1697,2022,Food and nutrition,"Sweet potato, jackfruit seeds, dioscorea ",
84,Changes in some nutritional components of Vigna racemosa as influenced by hydrothermal processing techniques,Ojo M.A.; Ade-Omowaye B.I.O.,Food Research,10.26656/fr.2017.6(1).664,2022,Food and nutrition,,Vigna racemosa
85,Southern balsam pear (Momordica balsamina L.): Characterization of underutilized cucurbitaceous vegetable,Chinthan K.N.; Manjunathagowda D.C.; Rathod V.; Devan S.R.; Anjanappa M.,South African Journal of Botany,10.1016/j.sajb.2021.11.048,2022,Food and nutrition,Southern balsam pear,Momardica balsamina
86,Tef: a tiny grain with enormous potential,Girija A.; Jifar H.; Jones C.; Yadav R.; Doonan J.; Mur L.A.J.,Trends in Plant Science,10.1016/j.tplants.2021.11.011,2022,Food and nutrition,Tef,
87,"Evaluation of 93 Accessions of African Yam Bean (Sphenostylis stenocarpa) Grown in Ethiopia for Physical, Nutritional, Antinutritional, and Cooking Properties",Shitta N.S.; Abebe A.T.; Oselebe H.O.; Edemodu A.C.; Alamu E.O.; Abberton M.T.; Maziya-Dixon B.; Adesokan M.; Fenta B.; Abtew W.G.,Journal of Food Quality,10.1155/2022/8386258,2022,Food and nutrition,African yam bean,Sphenostylis stenocarpa
88,Water uptake kinetics in soaking of grass pea,Costa R.; Pedroso V.; Madeira T.; Gândara J.,Food Science and Technology (Brazil),10.1590/fst.24320,2022,Food and nutrition,Grass pea,Lathyrus sativus
89,"Nutritional prospective of Sesbania species: an underutilized wild legume from Northern Western Ghats, Maharashtra, India",Patil M.; Auti S.,Acta Fytotechnica et Zootechnica,10.15414/afz.2022.25.02.165-170,2022,Food and nutrition,,Sesbania grandiflora and Sesbania bispinosa
90,Nutritional Value of Underutilized Fruit: Diospyros chloroxylon Roxb. (Green Ebony Persimmon),Murthy H.N.; Dalawai D.; Arer I.; Karadakatti P.; Hafiz K.,International Journal of Fruit Science,10.1080/15538362.2021.2023065,2022,Food and nutrition,Green ebony persimmon,Diospyros chloroxylon Roxb.
91,"GC-MS analysis and antioxidant potential of wild underutilized medicinally important legume, velvet bean (Mucuna pruriens L. DC.)",More K.C.; Shelke D.B.; Tayade S.; Gawande P.; Sonawane H.B.,Notulae Scientia Biologicae,10.15835/nsb14111098,2022,Food and nutrition,Velvet bean ,Mucuna pruriens L. DC.
92,The Nutritional Applications of Quinoa Seeds,Okon O.G.,Biology and Biotechnology of Quinoa: Super Grain for Food Security,10.1007/978-981-16-3832-9_3,2022,Food and nutrition,Quinoa ,Chenopodium quinoa (Willd.)
93,"Endogenous phytonutrient, phytochemical, and phytohormone levels modulate in-vitro callus induction and plant regeneration in finger millet (Eleusine coracana) genotypes",Jamra G.; Shah P.; Agarwal A.; Sharma D.; Kumar A.,Plant Biosystems,10.1080/11263504.2021.1918779,2022,Food and nutrition,Finger millet,Eleusine coracana
94,"Caryota urens: value addition, nutritional and medicinal values",Perumpuli P.A.B.N.; Singharathne S.M.S.J.M.; Wanninaika I.P.,Food Research,10.26656/fr.2017.6(2).200,2022,Food and nutrition,Kithul,Caryota urens 
95,"Formulation and sensory characterization of low-cost, high-energy, nutritious cookies for undernourished adolescents: An approach using linear programming and fuzzy logic",Varghese C.; Srivastav P.P.,Innovative Food Science and Emerging Technologies,10.1016/j.ifset.2021.102904,2022,Food and nutrition,"Finger millet, jackfruit seed powder, moringa powder",
96,"Ecological niche, genetic variation in natural populations, and harvest maturity of Senegalia macrostachya (Rchb. ex DC) Kayl. & Boatwr., a promising wild and perennial edible-seeded crop",Drabo M.S.; Shumoy H.; Koala J.; Savadogo A.; Raes K.,Agroforestry Systems,10.1007/s10457-022-00772-5,2022,Food and nutrition,,Senegalia macrostachya
